Erase_Index Worst_Case_Time(us) Best_Case_Time(us)
100000 252.745 0.184
99999 256.599 0.139
99998 251.095 0.078
99997 258.936 0.083
99996 265.827 0.114
99995 269.336 0.094
99994 287.569 0.086
99993 252.671 0.117
99992 262.466 0.1
99991 255.814 0.104
99990 179.773 0.071
99989 179.361 0.081
99988 179.356 0.085
99987 179.652 0.069
99986 179.573 0.083
99985 179.495 0.069
99984 179.547 0.071
99983 179.202 0.085
99982 248.598 0.071
99981 181.59 0.086
99980 180.056 0.082
99979 179.621 0.083
99978 179.796 0.068
99977 179.312 0.068
99976 180.109 0.085
99975 179.517 0.086
99974 179.191 0.083
99973 179.814 0.085
99972 263.108 0.091
99971 180.199 0.073
99970 179.905 0.078
99969 179.276 0.083
99968 179.479 0.087
99967 179.331 0.085
99966 179.583 0.085
99965 179.818 0.083
99964 179.425 0.085
99963 179.406 0.078
99962 257.722 0.111
99961 181.473 0.07
99960 180.47 0.086
99959 179.633 0.067
99958 179.619 0.068
99957 179.817 0.086
99956 179.347 0.084
99955 185.658 0.07
99954 179.246 0.087
99953 179.29 0.085
99952 266.59 0.099
99951 181.93 0.082
99950 201.513 0.081
99949 213.429 0.068
99948 179.903 0.092
99947 179.817 0.09
99946 180.063 0.071
99945 179.91 0.091
99944 180 0.087
99943 179.925 0.087
99942 180.161 0.088
99941 188.447 0.075
99940 262.636 0.095
99939 195.954 0.085
99938 179.35 0.066
99937 180.19 0.07
99936 180.111 0.087
99935 179.977 0.082
99934 199.203 0.083
99933 179.407 0.083
99932 179.306 0.084
99931 179.1 0.085
99930 179.229 0.086
99929 179.07 0.083
99928 265.265 0.084
99927 202.483 0.07
99926 179.478 0.057
99925 179.38 0.087
99924 179.167 0.084
99923 179.333 0.086
99922 179.496 0.07
99921 179.135 0.085
99920 248.474 0.075
99919 179.913 0.088
99918 179.466 0.084
99917 179.761 0.073
99916 179.222 0.086
99915 179.781 0.084
99914 179.456 0.072
99913 187.908 0.085
99912 182.039 0.083
99911 255.823 0.07
99910 253.63 0.061
99909 185.331 0.088
99908 187.632 0.085
99907 183.232 0.083
99906 181.796 0.063
99905 188.394 0.078
99904 185.387 0.083
99903 181.824 0.086
99902 197.85 0.061
99901 183.068 0.07
99900 196.415 0.071
99899 183.67 0.08
99898 188.06 0.058
99897 234.182 0.069
99896 204.65 0.08
99895 183.884 0.064
99894 182.104 0.068
99893 181.148 0.066
99892 193.333 0.059
99891 237.674 0.094
99890 190.39 0.059
99889 181.862 0.058
99888 181.809 0.068
99887 184.036 0.085
99886 199.645 0.07
99885 189.887 0.06
99884 207.39 0.079
99883 179.887 0.084
99882 278.088 0.104
99881 248.181 0.092
99880 200.703 0.071
99879 179.897 0.085
99878 179.392 0.083
99877 179.264 0.086
99876 201.936 0.072
99875 179.296 0.082
99874 179.073 0.085
99873 179.232 0.07
99872 179.249 0.086
99871 179.827 0.06
99870 179.472 0.058
99869 179.262 0.084
99868 179.261 0.059
99867 179.17 0.072
99866 179.146 0.085
99865 185.376 0.084
99864 201.399 0.067
99863 251.689 0.099
99862 179.538 0.084
99861 179.181 0.07
99860 179.975 0.071
99859 217.698 0.072
99858 179.529 0.068
99857 179.566 0.068
99856 179.249 0.083
99855 179.033 0.084
99854 178.969 0.081
99853 179.016 0.069
99852 189.6 0.074
99851 179.151 0.067
99850 179.012 0.085
99849 179.447 0.085
99848 178.965 0.083
99847 225.532 0.088
