Insertion_Index Worst_Case_Time(us) Best_Case_Time(us)
1 0.27 0.069
2 0.139 0.068
3 0.139 0.073
4 0.138 0.07
5 0.139 0.073
6 5.972 0.196
7 0.14 0.063
8 0.143 0.067
9 0.142 0.066
10 0.144 0.073
11 1.017 0.176
12 0.143 0.067
13 0.145 0.065
14 0.144 0.071
15 0.156 0.069
16 0.173 0.076
17 0.189 0.068
18 0.186 0.074
19 0.189 0.066
20 0.195 0.073
21 0.996 0.211
22 0.199 0.065
23 0.204 0.071
24 0.202 0.068
25 0.203 0.073
26 0.218 0.066
27 0.207 0.072
28 0.211 0.067
29 0.222 0.065
30 0.293 0.082
31 0.239 0.073
32 0.226 0.068
33 0.231 0.069
34 0.235 0.072
35 0.226 0.071
36 0.225 0.073
37 0.135 0.062
38 0.136 0.062
39 0.319 0.082
40 0.31 0.061
41 2.023 0.228
42 0.234 0.063
43 0.227 0.072
44 0.234 0.061
45 0.212 0.061
46 0.222 0.063
47 0.219 0.064
48 0.234 0.063
49 0.228 0.063
50 0.252 0.063
51 0.222 0.062
52 0.249 0.066
53 0.231 0.062
54 0.246 0.062
55 0.54 0.073
56 0.601 0.062
57 0.533 0.062
58 0.353 0.062
59 0.353 0.063
60 0.282 0.064
61 0.171 0.06
62 0.172 0.06
63 0.174 0.06
64 0.174 0.059
65 0.174 0.062
66 0.179 0.062
67 0.511 0.066
68 0.344 0.059
69 0.687 0.064
70 0.364 0.073
71 0.534 0.086
72 0.477 0.067
73 0.587 0.082
74 0.692 0.104
75 0.711 0.057
76 0.996 0.071
77 0.671 0.059
78 0.535 0.073
79 0.361 0.061
80 0.303 0.083
81 3.776 0.43
82 0.42 0.106
83 0.396 0.08
84 0.424 0.086
85 0.422 0.08
86 0.411 0.093
87 0.42 0.08
88 0.48 0.069
89 0.603 0.078
90 0.596 0.06
91 0.58 0.076
92 0.584 0.073
93 0.584 0.101
94 0.532 0.073
95 0.632 0.071
96 1.009 0.082
97 0.788 0.085
98 0.589 0.077
99 0.794 0.078
100 0.724 0.063
101 0.415 0.069
102 0.354 0.073
103 0.355 0.073
104 0.36 0.077
105 0.339 0.071
106 0.344 0.072
107 0.366 0.077
108 0.349 0.075
109 0.349 0.07
110 0.348 0.07
111 0.369 0.073
112 0.346 0.069
113 0.252 0.062
114 0.249 0.061
115 0.252 0.062
116 0.378 0.085
117 0.342 0.073
118 0.326 0.064
119 0.34 0.062
120 0.342 0.06
121 0.339 0.064
122 0.341 0.061
123 0.477 0.066
124 0.416 0.065
125 0.696 0.08
126 0.623 0.094
127 0.441 0.069
128 0.398 0.065
129 0.369 0.062
130 0.489 0.075
131 0.34 0.06
132 0.364 0.044
133 0.643 0.059
134 0.719 0.073
135 0.743 0.08
136 0.435 0.062
137 0.838 0.078
138 0.708 0.061
139 0.29 0.062
140 0.845 0.075
141 0.698 0.061
142 0.556 0.07
143 0.818 0.073
144 0.497 0.062
145 0.611 0.066
146 0.446 0.063
147 0.626 0.071
148 0.41 0.073
149 0.415 0.073
150 0.403 0.07
151 0.305 0.063
152 0.413 0.084
153 0.377 0.063
154 0.373 0.06
155 0.373 0.064
156 0.37 0.06
157 0.366 0.062
158 0.375 0.063
159 0.407 0.062
160 0.441 0.063
161 13.176 0.454
162 0.39 0.063
163 0.435 0.073
164 0.387 0.063
165 0.406 0.063
166 0.383 0.062
167 0.399 0.062
168 0.451 0.061
169 0.448 0.063
170 0.337 0.066
171 0.404 0.061
172 0.399 0.063
173 0.419 0.064
174 0.403 0.064
175 0.422 0.063
176 0.4 0.063
177 0.429 0.064
178 0.396 0.062
179 0.43 0.071
180 0.427 0.061
181 0.429 0.062
182 0.42 0.06
183 0.422 0.063
184 0.428 0.06
185 0.478 0.065
186 0.451 0.061
187 0.432 0.064
188 0.417 0.063
189 0.472 0.066
190 0.473 0.062
191 0.475 0.062
192 0.429 0.063
193 0.455 0.062
194 0.518 0.062
195 0.469 0.061
196 0.441 0.058
197 0.461 0.064
198 0.436 0.061
199 0.512 0.061
200 0.443 0.061
