Function_Index Worst_Case_Time(us) Best_Case_Time(us)
1 6.082 3.445
2 0.674 3.453
3 1.25 1.139
4 1.05 0.516
5 1.279 0.727
6 1.71 0.674
7 3.055 0.693
8 3.673 0.821
9 32.887 1.165
10 2.314 0.5
11 3.296 0.589
12 2.989 0.509
13 3.122 0.503
14 3.221 0.54
15 3.334 0.575
16 3.651 0.599
17 3.804 0.659
18 3.995 0.661
19 6.948 1.162
20 7.511 0.951
21 4.836 0.675
22 6.076 0.672
23 5.507 0.689
24 5.793 0.753
25 6.113 0.744
26 6.408 0.82
27 15.344 1.497
28 11.349 1.313
29 12.24 1.331
30 7.927 0.861
31 25.932 0.823
32 8.238 0.915
33 8.447 0.868
34 140.293 1.812
35 15.414 1.414
36 10.352 0.947
37 9.831 0.945
38 10.012 0.946
39 16.798 1.681
40 17.518 1.844
41 27.104 1.181
42 12.944 0.973
43 12.534 1.066
44 12.721 1.059
45 13.252 1.106
46 13.591 1.086
47 14.229 1.21
48 25.4 1.951
49 15.068 1.152
50 26.141 2.224
51 27.33 1.872
52 29.106 2.058
53 19.984 1.235
54 17.509 1.213
55 17.958 1.391
56 18.445 1.241
57 18.975 1.265
58 19.48 1.292
59 19.93 1.319
60 20.596 1.302
61 19.592 1.248
62 28.529 1.214
63 24.547 1.437
64 20.959 1.278
65 40.331 2.346
66 42.766 2.648
67 46.728 2.452
68 43.089 2.308
69 45.439 2.419
70 51.493 3
71 48.878 2.835
72 61.543 2.775
73 52.888 2.86
74 93.123 2.874
75 50.928 2.779
76 54.983 3.035
77 56.663 2.956
78 58.253 3.023
79 54.844 2.532
80 53.909 2.956
81 56.037 2.793
82 67.351 2.818
83 59.397 2.93
84 72.975 3.112
85 63.163 3.062
86 121.489 2.839
87 38.845 1.504
88 36.435 1.622
89 41.73 1.588
90 41.655 1.618
91 37.356 1.373
92 33.807 1.485
93 38.314 1.473
94 38.357 1.466
95 82.578 5.371
96 71.814 3.145
97 103.349 3.09
98 74.263 3.155
99 101.433 2.571
100 69.52 2.67
101 63.042 2.593
102 65.476 2.705
103 73.835 2.664
104 67.21 2.729
105 62.886 2.601
106 66.666 2.722
107 67.525 2.542
108 70.16 2.533
109 71.012 2.52
110 47.968 1.495
111 40.985 1.465
112 37.556 1.269
113 70.239 2.511
114 77.39 2.796
115 39.431 1.348
116 40.141 1.441
117 49.564 1.368
118 41.274 1.505
119 44.026 1.456
120 47.075 1.519
121 47.87 1.571
122 48.548 1.582
123 90.575 2.87
124 114.606 3.55
125 94.384 3.062
126 99.821 1.477
127 48.96 1.478
128 85.808 2.879
129 145.337 4.5
130 93.236 2.851
131 52.705 1.577
132 52.835 1.552
133 95.192 2.96
134 100.372 1.811
135 58.199 1.625
136 58.031 1.58
137 58.815 1.857
138 65.093 1.751
139 61.387 1.628
140 88.186 1.785
141 60.362 1.612
142 64.251 1.745
143 65.008 1.703
144 71.917 1.776
145 70.439 1.915
146 72.237 1.95
147 85.039 2.077
148 122.837 3.402
149 160.597 3.439
150 146.584 3.471
151 128.94 3.533
152 138.132 3.693
153 144.236 3.535
154 144.359 3.965
155 135.092 3.514
156 146.563 3.959
157 130.771 3.505
158 137.881 3.714
159 139.751 3.756
160 76.449 1.837
161 132.801 3.494
162 100.574 2.027
163 95.53 1.805
164 81.969 1.843
165 82.914 1.876
166 91.025 2.076
167 88.994 1.895
168 84.613 2.016
169 90.037 2.086
170 86.451 1.963
171 194.651 2.514
172 197.052 4.711
173 254.123 4.609
174 190.899 2.586
175 96.56 2.099
176 102.418 2.23
177 103.631 2.251
178 110.936 2.463
179 119.745 2.662
180 120.349 2.568
181 129.712 2.732
182 131.307 2.838
183 132.276 2.79
184 133.832 2.899
185 153.542 3.026
186 146.182 3.024
187 165.978 3.341
188 278.521 6.567
189 170.958 3.462
190 166.1 3.305
191 186.571 3.393
192 155.375 3.168
193 164.717 3.348
194 159.009 3.227
195 167.974 3.219
196 185.659 3.42
197 170.703 3.235
198 164.738 3.238
199 174.141 3.306
200 168.869 3.364
201 177.378 3.321
202 185.608 6.445
203 337.918 6.872
204 272.754 6.882
205 177.931 3.593
206 178.209 3.335
207 179.626 3.339
208 181.308 3.352
209 182.887 3.362
210 193.194 3.381
211 252.062 3.532
212 196.739 3.418
213 189.641 3.593
214 201.582 3.464
215 217.212 3.666
216 379.827 6.671
217 198.633 3.661
218 370.52 6.561
219 328.235 7.255
220 202.822 3.553
221 395.847 7.749
222 245.573 6.849
223 278.934 4.094
224 291.372 7.161
225 310.358 3.839
226 250.956 3.768
227 294.463 6.85
228 311.382 3.965
229 335.118 4.115
230 440.582 8.206
231 437.122 7.403
232 452.699 7.142
233 378.709 4.188
234 415.6 4.68
235 361.041 8.035
236 346.589 7.108
237 361.403 4.233
238 481.11 7.926
239 361.735 7.265
240 410.795 7.29
241 521.167 6.758
242 381.575 7.342
243 374.563 6.876
244 365.699 6.354
245 383.549 6.048
246 399.334 6.743
247 375.229 6.8
248 422.679 6.512
249 418.272 7.281
250 406.843 6.158
251 345.018 5.762
252 358.356 5.672
253 368.443 6.639
254 409.245 6.467
255 380.041 5.88
256 346.637 5.518
257 381.346 5.76
258 402.045 6.008
259 356.036 5.719
260 359.805 6.213
261 384.79 5.705
262 258.359 3.978
263 246.854 3.932
264 306.398 3.942
265 304.17 4.877
266 285.951 4.385
267 276.895 4.521
268 138.586 2.109
269 248.764 4.9
270 247.935 3.628
271 132.68 1.868
272 133.161 1.902
273 220.129 1.878
274 259.145 3.924
275 268.484 3.917
276 244.255 2.69
277 378.854 5.765
278 338.793 5.561
279 352.154 5.05
280 378.967 5.886
281 312.532 4.983
282 406.043 5.238
283 192.043 2.897
284 310.116 4.927
285 335.556 5.155
286 215.953 2.545
287 331.869 4.681
288 284.207 4.084
289 331.269 4.503
290 260.015 3.8
291 290.182 6.126
292 334.273 6.082
293 327.383 5.544
294 402.737 2.613
295 177.52 2.165
296 328.82 5.017
297 365.643 4.787
298 246.287 2.706
299 183.693 2.572
300 188.209 2.286
301 168.738 2.269
302 269.375 2.271
303 169.927 2.184
304 160.381 2.007
305 204.634 3.911
306 169.74 2.393
307 169.743 2.228
308 169.871 2.099
309 176.434 2.174
310 169.939 2.045
311 183.011 2.522
312 168.33 2.163
313 173.713 2.212
314 170.153 2.188
315 337.564 4.248
316 336.121 4.32
317 175.286 2.109
318 360.199 4.28
319 171.179 2.088
320 362.37 4.393
321 339.925 4.682
322 557.2 5.074
323 453.187 4.349
324 291.316 5.215
325 304.653 2.279
326 360.42 4.719
327 471.867 5.172
328 193.276 2.386
329 218.24 2.323
330 249.079 4.685
331 317.405 4.226
332 383.238 4.893
333 258.621 2.64
334 642.251 5.568
335 437.067 4.789
336 836.325 5.178
337 399.969 4.923
338 424.588 4.587
339 417.419 5.194
340 406.777 4.665
341 428.594 4.997
342 504.68 6.108
343 389.974 4.526
344 393.139 4.47
345 381.359 4.269
346 379.549 4.564
347 316.055 2.402
348 350.566 4.758
349 428.943 4.923
350 406.145 4.859
351 401.768 4.732
352 435.268 4.664
353 284.421 2.549
354 236.241 2.374
355 265.218 2.403
356 255.092 2.333
357 258.675 2.431
358 233.866 2.273
359 222.414 4.357
360 250.222 2.756
361 279.209 2.712
362 294.204 2.376
363 258.23 2.439
364 260.818 2.508
365 1611.1 7.309
366 289.639 2.779
367 355.191 2.514
368 434.636 2.519
369 252.249 2.489
370 246.102 2.91
371 240.018 2.431
372 236.537 4.618
373 235.758 2.356
374 246.495 4.157
375 237.901 2.519
376 261.378 4.483
377 240.128 2.387
378 256.634 2.404
379 258.534 2.417
380 272.062 2.426
381 261.067 5.277
382 261.561 2.445
383 263.265 2.408
384 319.152 2.588
385 268.457 2.402
386 287.5 2.712
387 276.926 2.528
388 259.944 2.508
389 270.155 2.473
390 297.018 2.475
391 394.013 4.842
392 676.698 6.836
393 310.731 2.888
394 338.22 2.704
395 308.516 2.879
396 263.981 2.519
397 294.95 2.716
398 266.19 2.477
399 311.217 3.428
400 270.491 2.747
401 297.545 2.543
402 301.597 2.582
403 301.002 2.525
404 322.018 2.631
405 275.181 2.553
406 277.427 2.574
407 286.462 2.652
408 286.361 2.595
409 313.848 2.67
410 281.944 2.574
411 283.348 2.608
412 284.845 5.679
413 328.242 2.599
414 499.663 5.268
415 653.134 4.386
416 380.931 3.201
417 366.168 2.734
418 301.786 2.719
419 312.673 2.829
420 324.4 2.923
421 362.045 3.017
422 335.618 3.041
423 361.26 3.233
424 438.68 4.273
425 410.82 3.694
426 418.813 3.599
427 396.672 3.532
428 398.369 3.526
429 417.252 3.703
430 833.022 715.563
431 655.41 5.028
432 465.198 4.133
433 485.924 4.044
434 466.376 4.091
435 489.208 4.223
436 500.301 4.198
437 493.333 4.197
438 499.044 19.083
439 554.807 4.502
440 580.929 12.864
441 656.28 13.158
442 662.746 6.035
443 1189.36 12.212
444 1214.21 6.288
445 628.915 5.238
446 684.886 5.631
447 669.004 5.667
448 671.409 5.618
449 717.069 6.17
450 676.293 5.69
451 736.743 6.066
452 746.381 6.042
453 724.128 6.073
454 1200.88 12.939
455 1449.85 6.676
456 792.706 6.131
457 801.001 6.65
458 744.516 6.079
459 816.17 6.335
460 754.788 5.801
461 742.332 5.456
462 698.269 5.184
463 638.959 5.14
464 675.916 5.434
465 1205.58 10.957
466 680.701 5.326
467 701.579 4.992
468 598.758 13.024
469 725.931 5.793
470 711.521 5.302
471 661.857 5.274
472 665.956 12.67
473 646.794 4.832
474 643.137 76.498
475 631.134 11.747
476 1094.91 10.737
477 1168.81 12.422
478 625.715 4.872
479 710.216 13.58
480 1247.62 17.863
481 787.503 5.202
482 778.127 5.966
483 733.16 5.41
484 730.795 13.469
485 1632.51 11.319
486 1309.01 10.707
487 1275.52 5.974
488 786.172 6.23
489 886.963 6.855
490 930.939 6.89
491 1169 7.12
492 812.491 6.408
493 815.051 6.154
494 2387.69 6.817
495 840.702 6.175
496 778.583 5.87
497 1548.71 11.429
498 883.985 6.601
499 834.7 6.612
500 862.897 11.907
501 865.105 6.538
502 838.313 6.512
503 853.676 6.779
504 2514.22 15.932
505 1681.11 13.697
506 1552.45 14.873
507 1024.83 6.523
508 839.822 6.469
509 826.686 6.019
510 835.402 6.08
511 820.605 6.153
512 880.564 6.378
513 2064.66 8.222
514 1079.04 6.609
515 881.853 6.918
516 888.22 7.013
517 886.916 6.441
518 892.027 14.296
519 1004.06 7.01
520 953.964 7.343
521 1039.38 6.925
522 1388.62 14.291
523 2064.26 8.038
524 1061.62 7.504
525 1040.17 7.436
526 1051.73 15.181
527 955.141 6.135
528 865.553 5.824
529 855.772 5.704
530 808.688 13.635
531 1142.09 11.221
532 984.613 6.206
533 950.221 6.314
534 1280.45 6.55
535 900.788 13.761
536 830.024 13.411
537 759.441 4.958
538 756.373 4.929
539 744.135 4.787
540 690.223 4.731
541 1254.1 12.715
542 941.868 5.303
543 742.601 12.42
544 758.335 12.506
545 753.806 4.579
546 690.486 4.393
547 713.751 4.317
548 680.698 4.287
549 673.753 4.143
550 662.158 4.197
551 655.524 4.151
552 725.804 15.619
553 1133.06 9.54
554 588.222 4.619
555 967.911 6.126
556 760.332 4.577
557 687.673 4.365
558 696.845 4.416
559 660.331 4.413
560 683.562 4.298
561 684.681 4.224
562 778.829 4.141
563 627.95 4.11
564 849.986 6.94
565 969.401 8.088
566 998.55 6.339
567 634.835 11.963
568 549.385 3.609
569 563.399 3.567
570 543.053 3.547
571 582.517 3.653
572 539.634 3.537
573 541.952 3.522
574 565.163 3.638
575 549.979 3.516
576 581.513 3.575
577 549.082 3.56
578 571.44 3.593
579 890.74 8.142
580 1052.59 8.063
581 1258.73 8.063
582 779.531 7.819
583 604.067 10.414
584 635.642 3.796
585 841.153 8.126
586 964.612 4.18
587 612.902 10.522
588 606.842 3.634
589 594.908 3.729
590 660.334 3.797
591 1106.95 4.029
592 1839.2 87.009
593 717.058 11.676
594 654.568 3.843
595 596.251 3.699
596 591.734 3.684
597 595.925 3.8
598 600.108 3.721
599 611.483 3.799
600 599.771 3.707
601 627.511 3.741
602 628.384 3.724
603 662.391 3.946
604 756.927 7.206
605 604.545 3.742
606 642.894 3.731
607 1908.11 6.999
608 749.813 10.74
609 689.938 3.741
610 619.498 3.766
611 660.557 3.797
612 628.023 3.821
613 688.293 3.844
614 627.047 3.745
615 640.711 3.862
616 634.877 3.798
617 637.317 3.933
618 772.528 4.079
619 640.993 3.817
620 714.473 3.988
621 1221.3 7.512
622 978.592 14.011
623 829.398 12.495
624 694.324 9.959
625 685.975 4.135
626 682.331 3.85
627 653.572 4.021
628 682.3 3.929
629 662.937 4.008
630 659.73 3.879
631 748.221 4.017
632 706.514 3.877
633 671.147 3.912
634 709.417 4.077
635 1159.88 4.765
636 721.31 10.683
637 709.332 4.026
638 694.646 4.107
639 682.159 4.003
640 717.117 3.959
641 684.928 3.926
642 693.684 4.007
643 1024.68 4.009
