policy+1
size capacity
1000 1000
2000 2000
3000 3000
4000 4000
5000 5000
6000 6000
7000 7000
8000 8000
9000 9000
10000 10000
11000 11000
12000 12000
13000 13000
14000 14000
15000 15000
16000 16000
17000 17000
18000 18000
19000 19000
20000 20000
21000 21000
22000 22000
23000 23000
24000 24000
25000 25000
26000 26000
27000 27000
28000 28000
29000 29000
30000 30000
31000 31000
32000 32000
33000 33000
34000 34000
35000 35000
36000 36000
37000 37000
38000 38000
39000 39000
40000 40000
41000 41000
42000 42000
43000 43000
44000 44000
45000 45000
46000 46000
47000 47000
48000 48000
49000 49000
50000 50000
51000 51000
52000 52000
53000 53000
54000 54000
55000 55000
56000 56000
57000 57000
58000 58000
59000 59000
60000 60000
61000 61000
62000 62000
63000 63000
64000 64000
65000 65000
66000 66000
67000 67000
68000 68000
69000 69000
70000 70000
71000 71000
72000 72000
73000 73000
74000 74000
75000 75000
76000 76000
77000 77000
78000 78000
79000 79000
80000 80000
81000 81000
82000 82000
83000 83000
84000 84000
85000 85000
86000 86000
87000 87000
88000 88000
89000 89000
90000 90000
91000 91000
92000 92000
93000 93000
94000 94000
95000 95000
96000 96000
97000 97000
98000 98000
99000 99000
100000 100000
policy+2
size capacity
1000 1001
2000 2001
3000 3001
4000 4001
5000 5001
6000 6001
7000 7001
8000 8001
9000 9001
10000 10001
11000 11001
12000 12001
13000 13001
14000 14001
15000 15001
16000 16001
17000 17001
18000 18001
19000 19001
20000 20001
21000 21001
22000 22001
23000 23001
24000 24001
25000 25001
26000 26001
27000 27001
28000 28001
29000 29001
30000 30001
31000 31001
32000 32001
33000 33001
34000 34001
35000 35001
36000 36001
37000 37001
38000 38001
39000 39001
40000 40001
41000 41001
42000 42001
43000 43001
44000 44001
45000 45001
46000 46001
47000 47001
48000 48001
49000 49001
50000 50001
51000 51001
52000 52001
53000 53001
54000 54001
55000 55001
56000 56001
57000 57001
58000 58001
59000 59001
60000 60001
61000 61001
62000 62001
63000 63001
64000 64001
65000 65001
66000 66001
67000 67001
68000 68001
69000 69001
70000 70001
71000 71001
72000 72001
73000 73001
74000 74001
75000 75001
76000 76001
77000 77001
78000 78001
79000 79001
80000 80001
81000 81001
82000 82001
83000 83001
84000 84001
85000 85001
86000 86001
87000 87001
88000 88001
89000 89001
90000 90001
91000 91001
92000 92001
93000 93001
94000 94001
95000 95001
96000 96001
97000 97001
98000 98001
99000 99001
100000 100001
policy*1.5
size capacity
1000 1234
2000 2776
3000 4164
4000 4164
5000 6246
6000 6246
7000 9369
8000 9369
9000 9369
10000 14053
11000 14053
12000 14053
13000 14053
14000 14053
15000 21079
16000 21079
17000 21079
18000 21079
19000 21079
20000 21079
21000 21079
22000 31618
23000 31618
24000 31618
25000 31618
26000 31618
27000 31618
28000 31618
29000 31618
30000 31618
31000 31618
32000 47427
33000 47427
34000 47427
35000 47427
36000 47427
37000 47427
38000 47427
39000 47427
40000 47427
41000 47427
42000 47427
43000 47427
44000 47427
45000 47427
46000 47427
47000 47427
48000 71140
49000 71140
50000 71140
51000 71140
52000 71140
53000 71140
54000 71140
55000 71140
56000 71140
57000 71140
58000 71140
59000 71140
60000 71140
61000 71140
62000 71140
63000 71140
64000 71140
65000 71140
66000 71140
67000 71140
68000 71140
69000 71140
70000 71140
71000 71140
72000 106710
73000 106710
74000 106710
75000 106710
76000 106710
77000 106710
78000 106710
79000 106710
80000 106710
81000 106710
82000 106710
83000 106710
84000 106710
85000 106710
86000 106710
87000 106710
88000 106710
89000 106710
90000 106710
91000 106710
92000 106710
93000 106710
94000 106710
95000 106710
96000 106710
97000 106710
98000 106710
99000 106710
100000 106710
policy*2
size capacity
1000 1280
2000 2560
3000 5120
4000 5120
5000 5120
6000 10240
7000 10240
8000 10240
9000 10240
10000 10240
11000 20480
12000 20480
13000 20480
14000 20480
15000 20480
16000 20480
17000 20480
18000 20480
19000 20480
20000 20480
21000 40960
22000 40960
23000 40960
24000 40960
25000 40960
26000 40960
27000 40960
28000 40960
29000 40960
30000 40960
31000 40960
32000 40960
33000 40960
34000 40960
35000 40960
36000 40960
37000 40960
38000 40960
39000 40960
40000 40960
41000 81920
42000 81920
43000 81920
44000 81920
45000 81920
46000 81920
47000 81920
48000 81920
49000 81920
50000 81920
51000 81920
52000 81920
53000 81920
54000 81920
55000 81920
56000 81920
57000 81920
58000 81920
59000 81920
60000 81920
61000 81920
62000 81920
63000 81920
64000 81920
65000 81920
66000 81920
67000 81920
68000 81920
69000 81920
70000 81920
71000 81920
72000 81920
73000 81920
74000 81920
75000 81920
76000 81920
77000 81920
78000 81920
79000 81920
80000 81920
81000 81920
82000 163840
83000 163840
84000 163840
85000 163840
86000 163840
87000 163840
88000 163840
89000 163840
90000 163840
91000 163840
92000 163840
93000 163840
94000 163840
95000 163840
96000 163840
97000 163840
98000 163840
99000 163840
100000 163840
